GEOID,county,state,type,count
,North,Alabama,imported,1
,North,Alabama,local,0
02020,Anchorage,Alaska,imported,1
02020,Anchorage,Alaska,local,1
02122,Kenai Peninsula,Alaska,imported,1
02122,Kenai Peninsula,Alaska,local,0
04015,Mohave,Arizona,imported,0
04015,Mohave,Arizona,local,48
04017,Navajo,Arizona,imported,4
04017,Navajo,Arizona,local,0
05007,Benton,Arkansas,imported,0
05007,Benton,Arkansas,local,1
05045,Faulkner,Arkansas,imported,1
05045,Faulkner,Arkansas,local,5
05125,Saline,Arkansas,imported,1
05125,Saline,Arkansas,local,0
06019,Fresno,California,imported,1
06019,Fresno,California,local,1
06037,Los Angeles,California,imported,5
06037,Los Angeles,California,local,0
06059,Orange,California,imported,1
06059,Orange,California,local,0
06061,Placer,California,imported,1
06061,Placer,California,local,0
06065,Riverside,California,imported,1
06065,Riverside,California,local,0
06067,Sacramento,California,imported,1
06067,Sacramento,California,local,0
06073,San Diego,California,imported,1
06073,San Diego,California,local,0
06081,San Mateo,California,imported,1
06081,San Mateo,California,local,0
06085,Santa Clara,California,imported,1
06085,Santa Clara,California,local,0
06107,Tulare,California,imported,0
06107,Tulare,California,local,2
06109,Tuolumne,California,imported,2
06109,Tuolumne,California,local,0
,Unknown County,California,imported,0
,Unknown County,California,local,1
06113,Yolo,California,imported,0
06113,Yolo,California,local,1
08001,Adams,Colorado,imported,1
08001,Adams,Colorado,local,3
08005,Arapahoe,Colorado,imported,4
08005,Arapahoe,Colorado,local,1
08007,Archuleta,Colorado,imported,0
08007,Archuleta,Colorado,local,1
08013,Boulder,Colorado,imported,1
08013,Boulder,Colorado,local,0
08031,Denver,Colorado,imported,3
08031,Denver,Colorado,local,1
08041,El Paso,Colorado,imported,4
08041,El Paso,Colorado,local,0
08077,Mesa,Colorado,imported,0
08077,Mesa,Colorado,local,7
08101,Pueblo,Colorado,imported,1
08101,Pueblo,Colorado,local,0
11001,District of Columbia,District of Columbia,imported,1
11001,District of Columbia,District of Columbia,local,0
12011,Broward,Florida,imported,0
12011,Broward,Florida,local,2
12031,Duval,Florida,imported,0
12031,Duval,Florida,local,1
12073,Leon,Florida,imported,1
12073,Leon,Florida,local,1
12086,Miami-Dade,Florida,imported,0
12086,Miami-Dade,Florida,local,1
13121,Fulton,Georgia,imported,2
13121,Fulton,Georgia,local,8
15003,Honolulu,Hawaii,imported,2
15003,Honolulu,Hawaii,local,0
16017,Bonner,Idaho,imported,0
16017,Bonner,Idaho,local,1
16019,Bonneville,Idaho,imported,2
16019,Bonneville,Idaho,local,4
16031,Cassia,Idaho,imported,1
16031,Cassia,Idaho,local,0
16055,Kootenai,Idaho,imported,0
16055,Kootenai,Idaho,local,1
17031,Cook,Illinois,imported,2
17031,Cook,Illinois,local,5
17199,Williamson,Illinois,imported,0
17199,Williamson,Illinois,local,4
18003,Allen,Indiana,imported,0
18003,Allen,Indiana,local,8
18133,Putnam,Indiana,imported,0
18133,Putnam,Indiana,local,1
,Central,Iowa,imported,0
,Central,Iowa,local,1
,Eastern,Iowa,imported,1
,Eastern,Iowa,local,5
,Western,Iowa,imported,0
,Western,Iowa,local,1
20069,Gray,Kansas,imported,0
20069,Gray,Kansas,local,29
20081,Haskell,Kansas,imported,0
20081,Haskell,Kansas,local,21
20097,Kiowa,Kansas,imported,0
20097,Kiowa,Kansas,local,6
20145,Pawnee,Kansas,imported,0
20145,Pawnee,Kansas,local,7
20189,Stevens,Kansas,imported,0
20189,Stevens,Kansas,local,10
,Unknown County,Kansas,imported,0
,Unknown County,Kansas,local,17
21067,Fayette,Kentucky,imported,0
21067,Fayette,Kentucky,local,6
21073,Franklin,Kentucky,imported,1
21073,Franklin,Kentucky,local,0
21111,Jefferson,Kentucky,imported,1
21111,Jefferson,Kentucky,local,1
21219,Todd,Kentucky,imported,0
21219,Todd,Kentucky,local,1
,Unknown County,Kentucky,imported,1
,Unknown County,Kentucky,local,0
21239,Woodford,Kentucky,imported,0
21239,Woodford,Kentucky,local,3
22071,Orleans,Louisiana,imported,1
22071,Orleans,Louisiana,local,1
24027,Howard,Maryland,imported,1
24027,Howard,Maryland,local,0
24033,Prince George's,Maryland,imported,2
24033,Prince George's,Maryland,local,0
26005,Allegan,Michigan,imported,0
26005,Allegan,Michigan,local,1
26055,Grand Traverse,Michigan,imported,0
26055,Grand Traverse,Michigan,local,4
26065,Ingham,Michigan,imported,1
26065,Ingham,Michigan,local,0
26081,Kent,Michigan,imported,2
26081,Kent,Michigan,local,2
26099,Macomb,Michigan,imported,1
26099,Macomb,Michigan,local,1
26103,Marquette,Michigan,imported,0
26103,Marquette,Michigan,local,2
26117,Montcalm,Michigan,imported,1
26117,Montcalm,Michigan,local,3
26121,Muskegon,Michigan,imported,0
26121,Muskegon,Michigan,local,1
26125,Oakland,Michigan,imported,1
26125,Oakland,Michigan,local,0
26133,Osceola,Michigan,imported,0
26133,Osceola,Michigan,local,7
27037,Dakota,Minnesota,imported,0
27037,Dakota,Minnesota,local,1
27053,Hennepin,Minnesota,imported,2
27053,Hennepin,Minnesota,local,0
,Unknown County,Minnesota,imported,0
,Unknown County,Minnesota,local,4
27163,Washington,Minnesota,imported,1
27163,Washington,Minnesota,local,0
29039,Cedar,Missouri,imported,0
29039,Cedar,Missouri,local,5
29143,New Madrid,Missouri,imported,0
29143,New Madrid,Missouri,local,1
29213,Taney,Missouri,imported,1
29213,Taney,Missouri,local,0
30013,Cascade,Montana,imported,0
30013,Cascade,Montana,local,1
30029,Flathead,Montana,imported,2
30029,Flathead,Montana,local,0
30031,Gallatin,Montana,imported,5
30031,Gallatin,Montana,local,14
30041,Hill,Montana,imported,0
30041,Hill,Montana,local,4
30049,Lewis and Clark,Montana,imported,0
30049,Lewis and Clark,Montana,local,2
30111,Yellowstone,Montana,imported,0
30111,Yellowstone,Montana,local,4
31161,Sheridan,Nebraska,imported,1
31161,Sheridan,Nebraska,local,0
34003,Bergen,New Jersey,imported,1
34003,Bergen,New Jersey,local,3
34017,Hudson,New Jersey,imported,0
34017,Hudson,New Jersey,local,2
34029,Ocean,New Jersey,imported,0
34029,Ocean,New Jersey,local,1
34031,Passaic,New Jersey,imported,1
34031,Passaic,New Jersey,local,0
,Unknown County,New Jersey,imported,2
,Unknown County,New Jersey,local,0
35005,Chaves,New Mexico,imported,0
35005,Chaves,New Mexico,local,1
35009,Curry,New Mexico,imported,0
35009,Curry,New Mexico,local,1
,Dona Ana,New Mexico,imported,0
,Dona Ana,New Mexico,local,2
35015,Eddy,New Mexico,imported,0
35015,Eddy,New Mexico,local,3
35025,Lea,New Mexico,imported,0
