GEOID,County,State,type,case_count,Region_Label,ID_Unknown,unkown_case_count
01019,Cherokee,Alabama,imported,NaN,North,1,1
01033,Colbert,Alabama,imported,NaN,North,1,1
01043,Cullman,Alabama,imported,NaN,North,1,1
01049,DeKalb,Alabama,imported,NaN,North,1,1
01059,Franklin,Alabama,imported,NaN,North,1,1
01071,Jackson,Alabama,imported,NaN,North,1,1
01077,Lauderdale,Alabama,imported,NaN,North,1,1
01079,Lawrence,Alabama,imported,NaN,North,1,1
01083,Limestone,Alabama,imported,NaN,North,1,1
01089,Madison,Alabama,imported,NaN,North,1,1
01095,Marshall,Alabama,imported,NaN,North,1,1
01103,Morgan,Alabama,imported,NaN,North,1,1
01133,Winston,Alabama,imported,NaN,North,1,1
06001,Alameda,California,local,NaN,Unknown County,2,3
06003,Alpine,California,local,NaN,Unknown County,2,3
06005,Amador,California,local,NaN,Unknown County,2,3
06007,Butte,California,local,NaN,Unknown County,2,3
06009,Calaveras,California,local,NaN,Unknown County,2,3
06011,Colusa,California,local,NaN,Unknown County,2,3
06013,Contra Costa,California,local,NaN,Unknown County,2,3
06015,Del Norte,California,local,NaN,Unknown County,2,3
06017,El Dorado,California,local,NaN,Unknown County,2,3
06019,Fresno,California,local,NaN,Unknown County,2,3
06021,Glenn,California,local,NaN,Unknown County,2,3
06023,Humboldt,California,local,NaN,Unknown County,2,3
06025,Imperial,California,local,NaN,Unknown County,2,3
06027,Inyo,California,local,NaN,Unknown County,2,3
06029,Kern,California,local,NaN,Unknown County,2,3
06031,Kings,California,local,NaN,Unknown County,2,3
06033,Lake,California,local,NaN,Unknown County,2,3
06035,Lassen,California,local,NaN,Unknown County,2,3
06037,Los Angeles,California,local,NaN,Unknown County,2,3
06039,Madera,California,local,NaN,Unknown County,2,3
06041,Marin,California,local,NaN,Unknown County,2,3
06043,Mariposa,California,local,NaN,Unknown County,2,3
06045,Mendocino,California,local,NaN,Unknown County,2,3
06047,Merced,California,local,NaN,Unknown County,2,3
06049,Modoc,California,local,NaN,Unknown County,2,3
06051,Mono,California,local,NaN,Unknown County,2,3
06053,Monterey,California,local,NaN,Unknown County,2,3
06055,Napa,California,local,NaN,Unknown County,2,3
06057,Nevada,California,local,NaN,Unknown County,2,3
06059,Orange,California,local,NaN,Unknown County,2,3
06061,Placer,California,local,NaN,Unknown County,2,3
06063,Plumas,California,local,NaN,Unknown County,2,3
06065,Riverside,California,local,NaN,Unknown County,2,3
06067,Sacramento,California,local,NaN,Unknown County,2,3
06069,San Benito,California,local,NaN,Unknown County,2,3
06071,San Bernardino,California,local,NaN,Unknown County,2,3
06073,San Diego,California,local,NaN,Unknown County,2,3
06075,San Francisco,California,local,NaN,Unknown County,2,3
06077,San Joaquin,California,local,NaN,Unknown County,2,3
